"Date of Encashment",Name of the Political Party,Denomination
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"1,00,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"1,00,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"1,00,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,"10,00,000"
